"transaction_id","trans_group_en","property_usage_en","procedure_name_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"1-11-2023-529","Sales","Commercial","Sell","05-01-2023",526,"Business Bay",92.77,970000.0,10455.97
"1-11-2023-23809","Sales","Commercial","Sell","28-07-2023",352,"Al Thanayah Fourth",605.73,8125000.0,13413.57
"1-11-2023-26379","Sales","Commercial","Sell","22-08-2023",526,"Business Bay",22.49,298877.0,13289.33
"1-11-2023-30757","Sales","Commercial","Sell","26-09-2023",350,"Al Thanyah Fifth",131.07,1142764.0,8718.73
"1-11-2023-6495","Sales","Commercial","Sell","07-03-2023",350,"Al Thanyah Fifth",725.78,4000000.0,5511.31
"1-11-2023-6682","Sales","Commercial","Sell","08-03-2023",410,"Palm Jumeirah",470.08,12500000.0,26591.22
"1-11-2023-10544","Sales","Commercial","Sell","10-04-2023",343,"Al Warsan First",34.0,450000.0,13235.29
"1-11-2023-1277","Sales","Commercial","Sell","17-01-2023",343,"Al Warsan First",58.0,409252.0,7056.08
"1-11-2023-9568","Sales","Commercial","Sell","31-03-2023",435,"Al Hebiah Fourth",695.4,6140000.0,8829.45
"1-11-2023-2726","Sales","Commercial","Sell","31-01-2023",526,"Business Bay",40.84,461580.0,11302.15
"1-11-2023-12550","Sales","Commercial","Sell","01-05-2023",526,"Business Bay",102.29,1500000.0,14664.19
"1-11-2023-42540","Sales","Commercial","Sell","21-12-2023",526,"Business Bay",80.36,950000.0,11821.8
"1-11-2023-24029","Sales","Commercial","Sell","31-07-2023",350,"Al Thanyah Fifth",79.49,482000.0,6063.66
"1-11-2023-23704","Sales","Commercial","Sell","26-07-2023",445,"Jabal Ali First",606.38,3100000.0,5112.31
"1-11-2023-20493","Sales","Commercial","Sell","26-06-2023",441,"Al Barsha South Fourth",1898.99,19622880.0,10333.32
"1-11-2023-16011","Sales","Commercial","Sell","25-05-2023",526,"Business Bay",35.23,330000.0,9367.02
"1-11-2023-20789","Sales","Commercial","Sell","04-07-2023",441,"Al Barsha South Fourth",1507.5,16875654.0,11194.46
"1-11-2023-14531","Sales","Commercial","Sell","15-05-2023",526,"Business Bay",102.97,687168.0,6673.48
"1-11-2023-27764","Sales","Commercial","Sell","04-09-2023",350,"Al Thanyah Fifth",988.68,12900000.0,13047.7
